losses_train,accuracies_eval_nme,accuracies_eval,accuracies_eval_curr,accuracies_train
0.0004622512205969542,0.89,0.893,0.893,0.9956
0.009840858168900013,0.7985,0.78,0.84,0.9992
0.017677122727036476,0.729,0.7063333333333334,0.877,0.9996
0.02879456989467144,0.67175,0.645,0.819,0.9986
0.03946841508150101,0.6128,0.587,0.891,0.9988
0.04535596817731857,0.5776666666666667,0.551,0.883,0.9994
0.056639861315488815,0.5422857142857143,0.5062857142857143,0.86,0.9994
0.06726428866386414,0.511,0.46275,0.859,0.999
0.07625850290060043,0.4791111111111111,0.43177777777777776,0.877,0.9998
0.0898154154419899,0.4528,0.3905,0.772,0.9984
